Vertices 1353
-2.886356e+00 1.591396e+00 2.127840e+00
-2.871171e+00 1.594421e+00 2.444041e+00
-2.862592e+00 1.540497e+00 2.612049e+00
-2.862592e+00 1.625381e+00 2.616497e+00
-2.858389e+00 1.548300e+00 2.463165e+00
-2.858389e+00 1.633183e+00 2.467613e+00
-2.854187e+00 1.542281e+00 2.578018e+00
-2.854187e+00 1.627164e+00 2.582467e+00
-2.845782e+00 1.529796e+00 2.816233e+00
-2.845782e+00 1.614680e+00 2.820682e+00
-2.760209e+00 1.540644e+00 2.129444e+00
-2.749002e+00 1.588027e+00 1.827700e+00
-2.745697e+00 1.553751e+00 2.444781e+00
-2.628935e+00 1.531849e+00 1.836751e+00
-2.513426e+00 1.616169e+00 2.128248e+00
-2.500229e+00 1.609743e+00 2.443445e+00
-2.495428e+00 1.587461e+00 1.545211e+00
-2.394046e+00 1.620239e+00 1.848857e+00
-2.386584e+00 1.502872e+00 1.549333e+00
-2.173651e+00 1.635944e+00 1.552614e+00
-2.156798e+00 1.489164e+00 2.133337e+00
-2.145500e+00 1.511076e+00 2.445526e+00
-2.127182e+00 1.522440e+00 2.956610e+00
-2.127182e+00 1.607323e+00 2.961058e+00
-2.118778e+00 1.548300e+00 2.463164e+00
-2.118778e+00 1.633183e+00 2.467613e+00
-2.054604e+00 1.476683e+00 1.875581e+00
-2.052907e+00 1.548523e+00 2.458910e+00
-2.052907e+00 1.633407e+00 2.463359e+00
-2.043357e+00 1.520879e+00 2.986387e+00
-2.043357e+00 1.605763e+00 2.990835e+00
-1.977711e+00 1.581424e+00 1.056498e+00
-1.891782e+00 1.474116e+00 1.063400e+00
-1.865939e+00 1.419355e+00 1.563594e+00
-1.723677e+00 1.639492e+00 1.072489e+00
-1.705903e+00 1.635548e+00 2.129730e+00
-1.697007e+00 1.621707e+00 2.442523e+00
-1.625439e+00 1.645934e+00 1.895439e+00
-1.555086e+00 1.574592e+00 6.293810e-01
-1.487863e+00 1.451923e+00 6.366740e-01
-1.480747e+00 1.367189e+00 1.090057e+00
-1.476890e+00 1.674027e+00 1.569812e+00
-1.356352e+00 1.634994e+00 6.439850e-01
-1.343774e+00 1.570420e+00 3.903460e-01
-1.285903e+00 1.447752e+00 3.977260e-01
-1.216986e+00 1.566400e+00 1.600650e-01
-1.180458e+00 1.454272e+00 2.138792e+00
-1.174362e+00 1.482111e+00 2.446031e+00
-1.173603e+00 1.685276e+00 1.108512e+00
-1.172690e+00 1.630916e+00 4.103360e-01
-1.166304e+00 1.327819e+00 6.636310e-01
-1.164727e+00 1.449164e+00 1.618650e-01
-1.125317e+00 1.439861e+00 1.937493e+00
-1.111330e+00 1.559665e+00 -2.258140e-01
-1.063747e+00 1.449804e+00 -2.238790e-01
-1.062492e+00 1.626673e+00 1.672630e-01
-1.037371e+00 1.551768e+00 -6.424940e-01
-1.023518e+00 1.362881e+00 1.585295e+00
-1.009083e+00 1.323686e+00 4.268610e-01
-9.930620e-01 1.453582e+00 -6.409300e-01
-9.706610e-01 1.619832e+00 -2.246760e-01
-9.394890e-01 4.183940e-01 3.406342e+00
-9.394890e-01 4.183940e-01 3.721904e+00
-9.388000e-01 3.794420e-01 3.406342e+00
-9.388000e-01 3.794420e-01 3.721904e+00
-9.320350e-01 4.572020e-01 3.406342e+00
-9.320350e-01 4.572020e-01 3.721904e+00
-9.299980e-01 3.420480e-01 3.406342e+00
-9.299980e-01 3.420480e-01 3.721904e+00
-9.260220e-01 1.682570e+00 6.770600e-01
-9.147510e-01 1.331103e+00 1.658310e-01
-9.134670e-01 3.078470e-01 3.406342e+00
-9.134670e-01 3.078470e-01 3.721904e+00
-9.063790e-01 1.609554e+00 -6.426620e-01
-8.917950e-01 5.522510e-01 3.406342e+00
-8.917950e-01 5.522510e-01 3.721904e+00
-8.915900e-01 1.517716e+00 3.046738e+00
-8.915900e-01 1.602600e+00 3.051187e+00
-8.915900e-01 1.511599e+00 3.163453e+00
-8.915900e-01 1.596483e+00 3.167902e+00
-8.797360e-01 2.411090e-01 3.406342e+00
-8.716300e-01 4.926870e-01 2.368891e+00
-8.459680e-01 3.603540e-01 2.362341e+00
-8.422430e-01 5.736430e-01 2.371029e+00
-8.361400e-01 1.340311e+00 -2.211520e-01
-8.334590e-01 5.096550e-01 2.225244e+00
-8.156780e-01 1.295023e+00 1.131428e+00
-8.121640e-01 2.996300e-01 2.358423e+00
-8.098660e-01 5.820600e-01 2.225008e+00
-8.050870e-01 3.884800e-01 2.225965e+00
-8.026440e-01 1.548990e-01 3.406342e+00
-8.022320e-01 1.678696e+00 4.550740e-01
-7.811130e-01 1.356954e+00 -6.395170e-01
-7.800280e-01 8.104060e-01 3.309753e+00
-7.800280e-01 1.498320e+00 3.436225e+00
-7.720600e-01 3.320320e-01 2.226397e+00
-7.587780e-01 1.548300e+00 2.463164e+00
-7.587780e-01 1.633184e+00 2.467612e+00
-7.398590e-01 2.198890e-01 2.352783e+00
-7.279570e-01 1.673969e+00 1.843000e-01
-7.190790e-01 6.062160e-01 3.275721e+00
-7.190790e-01 1.574781e+00 3.455341e+00
-7.162780e-01 1.173722e+00 3.358264e+00
-7.148420e-01 7.600360e-01 3.406342e+00
-7.148420e-01 7.600360e-01 3.721904e+00
-7.143830e-01 5.099730e-01 2.120847e+00
-7.055930e-01 1.158508e+00 3.444543e+00
-7.037220e-01 2.572240e-01 2.226823e+00
-6.998500e-01 7.450440e-01 2.372231e+00
-6.985990e-01 5.591250e-01 2.119777e+00
-6.946540e-01 4.274680e-01 2.124123e+00
-6.938460e-01 1.055348e+00 4.060858e+00
-6.937110e-01 2.740380e-01 3.406342e+00
-6.937110e-01 2.740380e-01 3.721904e+00
-6.930740e-01 1.044442e+00 4.122376e+00
-6.870950e-01 7.322880e-01 2.224876e+00
-6.870590e-01 8.559110e-01 1.974008e+00
-6.870590e-01 1.498320e+00 1.984052e+00
-6.870590e-01 1.391934e+00 4.250764e+00
-6.783060e-01 1.149262e+00 3.496984e+00
-6.735730e-01 1.016768e+00 3.330588e+00
-6.735730e-01 1.330676e+00 3.385939e+00
-6.719920e-01 3.889640e-01 2.126083e+00
-6.705060e-01 3.187800e-02 3.406342e+00
-6.660620e-01 1.666899e+00 -2.207600e-01
-6.643200e-01 1.006816e+00 3.417796e+00
-6.643200e-01 1.310201e+00 3.471291e+00
-6.571300e-01 9.235370e-01 4.038918e+00
-6.571300e-01 1.186714e+00 4.085323e+00
-6.567470e-01 9.140270e-01 4.100669e+00
-6.567470e-01 1.174416e+00 4.146582e+00
-6.466050e-01 1.043268e+00 4.123817e+00
-6.460120e-01 1.243994e+00 7.052060e-01
-6.406890e-01 1.011006e+00 3.472605e+00
-6.406890e-01 1.287518e+00 3.521362e+00
-6.399710e-01 2.648830e-01 3.701151e+00
-6.390170e-01 1.908900e-01 3.701151e+00
-6.385080e-01 2.644340e-01 3.727881e+00
-6.375640e-01 1.912250e-01 3.727881e+00
-6.365900e-01 1.146047e+00 3.515217e+00
-6.361110e-01 1.235760e-01 2.361076e+00
-6.337290e-01 6.687370e-01 1.956992e+00
-6.337290e-01 1.574781e+00 1.964936e+00
-6.337280e-01 1.411049e+00 4.250764e+00
-6.256660e-01 8.768030e-01 -2.818548e+00
-6.256660e-01 1.488507e+00 -2.792398e+00
-6.256660e-01 1.498320e+00 -2.455165e+00
-6.256660e-01 8.559110e-01 -2.453437e+00
-6.250310e-01 3.376260e-01 2.128904e+00
-6.227360e-01 1.654727e+00 -6.416290e-01
-6.164080e-01 9.348600e-01 4.105772e+00
-6.164080e-01 1.151309e+00 4.143938e+00
-6.163110e-01 8.893960e-01 -2.923463e+00
-6.163110e-01 1.488507e+00 -2.920864e+00
-6.156500e-01 6.608440e-01 2.119176e+00
-6.154470e-01 2.573550e-01 3.727881e+00
-6.154350e-01 1.754060e-01 2.221046e+00
-6.146630e-01 1.964990e-01 3.727881e+00
-6.129570e-01 1.110121e+00 3.742413e+00
-6.115780e-01 2.224800e-01 3.394389e+00
-6.045620e-01 1.028331e+00 3.494461e+00
-6.045620e-01 1.263762e+00 3.535974e+00
-6.038010e-01 3.284870e-01 3.701151e+00
-6.034130e-01 1.646180e+00 2.132029e+00
-6.032250e-01 2.644720e-01 3.394389e+00
-6.032250e-01 1.804880e-01 3.394389e+00
-6.027210e-01 3.273630e-01 3.727881e+00
-6.011940e-01 1.263330e-01 3.701151e+00
-6.010160e-01 4.496590e-01 3.249628e+00
-6.010160e-01 1.626967e+00 3.468387e+00
-6.003910e-01 1.628245e+00 2.441435e+00
-6.001420e-01 1.273520e-01 3.727881e+00
-5.967460e-01 1.146047e+00 3.515217e+00
-5.940910e-01 9.181910e-01 1.979670e+00
-5.940910e-01 1.064284e+00 1.992951e+00
-5.932890e-01 2.224800e-01 3.467542e+00
-5.863290e-01 2.574730e-01 3.467542e+00
-5.863290e-01 1.874870e-01 3.467542e+00
-5.856990e-01 3.096650e-01 3.727881e+00
-5.854120e-01 1.011233e+00 3.725953e+00
-5.854120e-01 1.208676e+00 3.760768e+00
-5.838340e-01 -2.178700e-02 3.406342e+00
-5.835550e-01 1.434040e-01 3.727881e+00
-5.830490e-01 1.496411e+00 -3.224580e+00
-5.794390e-01 3.000710e-01 3.394389e+00
-5.794390e-01 1.448890e-01 3.394389e+00
-5.788900e-01 1.484938e+00 -3.146549e+00
-5.788900e-01 9.180160e-01 -3.080856e+00
-5.773670e-01 6.974410e-01 -2.827513e+00
